3/19/2015,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, ASBO:Grafitti ,723-85-8865
01/09/15,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in, ASBO:Noise ,620-83-1546
1/16/2015,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis, Arrest,378-88-6858
03/06/15,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo, Arrest,595-90-8809
02/02/15,suscipit nulla elit ac nulla sed vel enim sit amet,ASBO:Drugs ,556-65-1110
12/25/2014,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus, ASBO:Grafitti ,770-22-6561
01/12/15,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas, Arrest,627-79-5997
05/09/15,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce, Arrest,330-07-1068
07/05/15,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam, ASBO:Grafitti ,801-38-9691
2/14/2015,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea, Arrest,122-24-4317
02/08/15,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus, Arrest,932-97-4077
3/28/2015,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo, Arrest,979-94-2467
07/07/15,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam, ASBO:Grafitti ,253-58-9660
02/11/15,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet, ASBO:Gang ,664-34-9245
04/02/15,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida, Arrest,506-14-4016
12/25/2014,morbi ut odio cras mi pede malesuada in imperdiet et, ASBO:Noise ,513-35-3310
02/12/15,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec, Arrest,627-15-0737
1/23/2015,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Arrest,252-29-4929
6/13/2015,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat, ASBO:Racism ,873-29-2620
2/22/2015,sed tristique in tempus sit amet sem fusce consequat nulla, ASBO:Noise ,729-58-5518
06/01/15,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum, Arrest,791-62-3536
2/18/2015,id lobortis convallis tortor risus dapibus augue vel accumsan tellus, ASBO:Noise ,400-52-2389
6/18/2015,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in, Arrest,821-11-2735
6/15/2015,lectus in est risus auctor sed tristique in tempus sit amet, Arrest,288-59-8593
05/02/15,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla, Arrest,838-11-7607
03/03/15,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo, ASBO:Gang ,428-17-3887
6/25/2015,ac neque duis bibendum morbi non quam nec dui luctus rutrum, Arrest,484-37-1068
2/20/2015,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et, Arrest,420-54-7482
4/21/2015,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo, Arrest,529-97-6193
03/12/15,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus, ASBO:Grafitti ,581-26-5472
2/24/2015,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl, Arrest,349-76-9672
06/08/15,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante, Arrest,989-68-4793
4/24/2015,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac, ASBO:Racism ,307-09-8719
6/23/2015,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit, ASBO:Racism ,797-43-7696
06/12/15,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt, Arrest,220-62-1837
07/01/15,aenean sit amet justo morbi ut odio cras mi pede, Arrest,738-96-4379
01/05/15,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque, ASBO:Noise ,444-91-2379
1/31/2015,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,ASBO:Drugs ,958-75-0318
07/03/15,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar, Arrest,913-31-1925
06/01/15,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien, Arrest,400-15-2581
5/28/2015,elit ac nulla sed vel enim sit amet nunc viverra, ASBO:Gang ,666-57-8563
5/23/2015,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla, ASBO:Noise ,686-68-0909
1/26/2015,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,ASBO:Drugs ,260-71-8148
6/16/2015,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna, ASBO:Noise ,900-49-2935
01/05/15,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo, Arrest,220-58-0896
05/06/15,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante, Arrest,699-67-1766
2/16/2015,quam a odio in hac habitasse platea dictumst maecenas ut, Arrest,923-13-4382
2/13/2015,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit, Arrest,158-15-2345
4/20/2015,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra, ASBO:Noise ,756-76-4958
7/20/2015,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget, ASBO:Racism ,982-63-5447
6/29/2015,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet, ASBO:Noise ,255-89-9885
05/08/15,duis at velit eu est congue elementum in hac habitasse, Arrest,497-20-7808
3/14/2015,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac, Arrest,846-48-9238
03/02/15,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit, ASBO:Grafitti ,801-08-0289
4/26/2015,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis, ASBO:Racism ,414-19-5111
2/26/2015,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi, ASBO:Noise ,713-68-3650
12/23/2014,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero, Arrest,201-73-9145
5/17/2015,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit, Arrest,777-00-7153
05/09/15,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere, ASBO:Racism ,890-81-1579
12/25/2014,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet, Arrest,456-46-1699
3/17/2015,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit, ASBO:Racism ,760-58-1758
01/08/15,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique, Arrest,858-54-4075
3/23/2015,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula, ASBO:Grafitti ,867-78-8919
1/29/2015,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus, Arrest,980-16-2705
4/19/2015,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien, ASBO:Noise ,192-08-7348
03/04/15,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum, Arrest,661-39-2243
4/14/2015,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa, Arrest,205-52-5697
4/29/2015,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris, Arrest,718-09-6226
03/03/15,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce, Arrest,678-06-9352
05/07/15,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus, Arrest,153-84-6426
5/20/2015,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque, Arrest,525-30-4448
2/15/2015,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien, ASBO:Grafitti ,362-49-5861
5/31/2015,maecenas leo odio condimentum id luctus nec molestie sed justo, ASBO:Grafitti ,272-95-2412
1/19/2015,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue, ASBO:Grafitti ,585-92-9741
02/12/15,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate, Arrest,843-95-9006
5/18/2015,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt, ASBO:Racism ,552-54-9978
03/06/15,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim, ASBO:Noise ,222-79-5145
06/07/15,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et, ASBO:Noise ,641-55-5639
02/07/15,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis, Arrest,638-96-9343
07/12/15,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem, Arrest,993-88-2128
3/21/2015,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut, Arrest,913-69-6997
5/18/2015,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in, ASBO:Noise ,555-44-2746
06/02/15,sit amet nulla quisque arcu libero rutrum ac lobortis vel, ASBO:Noise ,442-54-3651
02/03/15,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed, Arrest,263-14-7231
7/15/2015,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante, Arrest,586-76-9388
04/01/15,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus, ASBO:Grafitti ,659-27-7887
6/20/2015,sem duis aliquam convallis nunc proin at turpis a pede, Arrest,795-37-7998
07/07/15,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis, ASBO:Grafitti ,367-54-3328
1/28/2015,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, ASBO:Racism ,159-09-5595
07/09/15,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,ASBO:Drugs ,938-61-9928
03/01/15,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a, ASBO:Noise ,855-81-1387
04/11/15,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit, Arrest,766-98-1818
5/19/2015,amet erat nulla tempus vivamus in felis eu sapien cursus, Arrest,349-36-6161
3/19/2015,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id, ASBO:Grafitti ,871-98-0966
1/27/2015,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque, ASBO:Noise ,302-08-4754
2/26/2015,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec, Arrest,508-10-3584
04/05/15,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis, ASBO:Noise ,983-64-1655
5/16/2015,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed, Arrest,900-41-3309
5/25/2015,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Arrest,978-46-8609
02/09/15,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis, Arrest,406-16-1052
4/22/2015,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan, Arrest,723-85-8865
2/15/2015,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero, ASBO:Noise ,620-83-1546
04/03/15,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris, ASBO:Racism ,378-88-6858
2/24/2015,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo, Arrest,595-90-8809
5/17/2015,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,ASBO:Drugs ,556-65-1110
06/08/15,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Arrest,770-22-6561
02/08/15,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis, Arrest,627-79-5997
4/27/2015,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus, Arrest,330-07-1068
03/07/15,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam, ASBO:Gang ,801-38-9691
5/19/2015,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti, Arrest,122-24-4317
01/04/15,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie, ASBO:Gang ,932-97-4077
4/27/2015,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet, Arrest,979-94-2467
03/02/15,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit, ASBO:Grafitti ,253-58-9660
01/03/15,etiam justo etiam pretium iaculis justo in hac habitasse platea, ASBO:Noise ,664-34-9245
