723-85-8865,07/09/15,68,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, Other 
620-83-1546,01/11/15,88,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in, Perceived Physical Condition 
378-88-6858,2/20/2015,68,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis, Neglect 
595-90-8809,05/02/15,26,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo, Other 
556-65-1110,03/02/15,44,suscipit nulla elit ac nulla sed vel enim sit amet, Neglect 
770-22-6561,5/26/2015,89,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus, Neglect 
627-79-5997,04/10/15,65,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas, Perceived Physical Condition 
330-07-1068,5/16/2015,81,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce, Perceived Physical Condition 
801-38-9691,02/02/15,10,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam, Neglect 
122-24-4317,03/07/15,95,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea, Other 
932-97-4077,1/19/2015,53,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus, Neglect 
979-94-2467,1/19/2015,81,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo, Neglect 
253-58-9660,6/14/2015,93,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam, Other 
664-34-9245,4/22/2015,75,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet, Neglect 
506-14-4016,12/31/2014,77,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida, Other 
513-35-3310,2/25/2015,34,morbi ut odio cras mi pede malesuada in imperdiet et, Other 
627-15-0737,7/15/2015,85,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec, Neglect 
252-29-4929,2/13/2015,63,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut, Deprivation 
873-29-2620,07/10/15,32,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat, Neglect 
729-58-5518,05/11/15,5,sed tristique in tempus sit amet sem fusce consequat nulla,Other 
791-62-3536,1/20/2015,8,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum, Other 
400-52-2389,2/21/2015,49,id lobortis convallis tortor risus dapibus augue vel accumsan tellus, Other 
821-11-2735,03/12/15,68,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in, Other 
288-59-8593,4/14/2015,76,lectus in est risus auctor sed tristique in tempus sit amet, Neglect 
838-11-7607,01/07/15,18,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla, Deprivation 
428-17-3887,04/08/15,48,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo, Other 
484-37-1068,02/05/15,59,ac neque duis bibendum morbi non quam nec dui luctus rutrum, Other 
420-54-7482,12/26/2014,45,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et, Other 
529-97-6193,2/20/2015,66,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo, Neglect 
581-26-5472,1/17/2015,29,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus, Deprivation 
349-76-9672,4/13/2015,46,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl, Deprivation 
989-68-4793,2/25/2015,97,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante, Neglect 
307-09-8719,6/22/2015,98,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac, Other 
797-43-7696,12/25/2014,64,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit, Perceived Physical Condition 
220-62-1837,6/29/2015,92,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt, Other 
723-85-8865,2/14/2015,22,aenean sit amet justo morbi ut odio cras mi pede, Other 
620-83-1546,6/25/2015,29,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque, Other 
378-88-6858,3/23/2015,82,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum, Neglect 
595-90-8809,01/12/15,39,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar, Neglect 
556-65-1110,6/14/2015,42,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien, Other 
770-22-6561,05/06/15,26,elit ac nulla sed vel enim sit amet nunc viverra, Neglect 
627-79-5997,02/01/15,29,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla, Other 
330-07-1068,1/24/2015,4,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in, Other 
801-38-9691,04/12/15,5,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna, Other 
122-24-4317,1/19/2015,57,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo, Other 
932-97-4077,01/07/15,27,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante, Neglect 
979-94-2467,01/11/15,17,quam a odio in hac habitasse platea dictumst maecenas ut, Neglect 
253-58-9660,7/19/2015,67,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit, Perceived Physical Condition 
664-34-9245,7/18/2015,27,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra, Other 
506-14-4016,1/24/2015,48,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget, Other 
513-35-3310,1/15/2015,24,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet, Deprivation 
627-15-0737,3/24/2015,53,duis at velit eu est congue elementum in hac habitasse, Perceived Physical Condition 
252-29-4929,2/14/2015,66,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac, Neglect 
873-29-2620,06/04/15,55,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit, Neglect 
729-58-5518,1/16/2015,30,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis, Perceived Physical Condition 
791-62-3536,05/11/15,68,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi, Other 
400-52-2389,12/31/2014,35,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero, Perceived Physical Condition 
821-11-2735,01/08/15,70,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit, Perceived Physical Condition 
288-59-8593,05/01/15,43,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere, Other 
838-11-7607,06/04/15,99,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet, Other 
428-17-3887,3/24/2015,58,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit, Neglect 
484-37-1068,02/02/15,54,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique, Other 
420-54-7482,07/04/15,31,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula, Other 
529-97-6193,06/06/15,64,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus, Perceived Physical Condition 
581-26-5472,3/23/2015,92,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien, Mild Distress 
349-76-9672,12/26/2014,76,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum, Neglect 
989-68-4793,06/01/15,74,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa, Other 
307-09-8719,2/24/2015,75,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,Other 
797-43-7696,1/27/2015,54,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce, Neglect 
220-62-1837,6/18/2015,46,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus, Other 
723-85-8865,06/10/15,66,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque, Neglect 
620-83-1546,7/16/2015,86,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien, Other 
378-88-6858,07/02/15,38,maecenas leo odio condimentum id luctus nec molestie sed justo, Other 
